Longitude,Latitude,Speed,LatAcceleration,LongAcceleration,SteerTorque,SteerRate,SteerAngle,FLWheelSpeed,FRWheelSpeed,RRWheelSpeed,RLWheelSpeed
-110.9338150024414,32.28551483154297,44.31,-501.73999999999995,-1.2151328087314681,0.0,0.0,3.2,44.259620440747646,44.55098905301401,44.65353649792055,44.45764233471964
-110.93379974365234,32.2855110168457,43.88552050037942,-501.74000000000007,-1.246104,0.0,0.0,3.2,43.744031687546055,43.975730655858506,43.94395246868091,43.98395246868092
-110.93378448486328,32.28550720214844,43.5998995685692,-501.7200000000001,-1.1414927999999998,0.0,-0.5563663511788647,3.1999999999999997,43.614529050510626,43.5985198730334,43.55959632900911,43.498923544024294
-110.93376159667969,32.285499572753906,42.49708203837995,-501.72,-1.179688522322752,0.0,-1.0,3.2000000000000006,42.55183703281433,42.430223631548316,42.532779539435396,42.4313897697177
-110.9337387084961,32.285491943359375,41.5,-501.75999999999993,-1.2461040000000003,0.0,0.0,3.3000000000000003,41.532807199083486,41.53368638900181,41.673686389001816,41.55438560183303
-110.93372344970703,32.28548812866211,41.00000000000001,-501.74,-1.3491768000000004,0.0,0.0,3.3000000000000003,40.898609058176994,40.97704424862612,41.02756585180975,40.987913587265496
-110.9337158203125,32.285484313964844,40.513789848887996,-501.73999999999995,-1.2461040000000003,0.0,-0.6941638232867242,3.3000000000000003,40.5633565701506,40.55606635578502,40.56877614141943,40.49251742761295
-110.9336929321289,32.28547668457031,39.43044626312539,-501.74,-1.1790073261163359,0.0,-8.305971226483184,4.015298561324159,39.52561258417256,39.42531262378317,39.55485001980531,39.45970003961062
-110.93367004394531,32.28546905517578,38.73169910748196,-501.7436371308017,-1.246104,0.0,-15.0,6.137064152791382,38.69683407212172,38.65601892895651,38.69203785791302,38.51081514316521
-110.93365478515625,32.28546905517578,38.07439018522973,-501.76,-1.246104,0.0,-1.551704189365087,6.999999999999999,38.08,38.22155119783145,38.14385039927715,38.02770079855431
-110.93364715576172,32.285465240478516,37.61999999999999,-501.76000000000005,-1.1414928,0.0,0.0,7.0,37.69070906762173,37.708581864756525,37.72207276867247,37.569527288252175
-110.93362426757812,32.285457611083984,36.75,-501.76000000000005,-1.2237237439682063,0.0,4.116199226305609,5.911619922630561,36.81316231884058,36.849074154589374,36.94670942028986,36.7210541062802
-110.9336166381836,32.28545379638672,36.359567993479146,-501.76,-1.1414928,0.0,3.0000000000000004,5.570147849786546,36.32570039907082,36.41425099767705,36.38997569837394,36.261425099767706
-110.93360137939453,32.28544998168945,35.855320886220845,-501.75999999999993,-1.1414928,0.0,2.0,5.2,35.986529878208025,35.91449004059733,36.073059756416036,35.901019918805346
-110.93359375,32.28544616699219,35.64654892407633,-501.76,-1.0485992156279984,0.0,0.6808015453720296,4.999999999999999,35.689603028587605,35.711444240022644,35.528243230493445,35.59464524955185
-110.93358612060547,32.28544616699219,35.18,-501.76,-1.1414928,0.0,0.0,5.0,35.08484440634376,35.14141877411058,35.0937025289327,35.03570938705529
-110.9335708618164,32.28544235229492,34.7096236338633,-501.76,-1.0384200000000001,0.0,1.602680256700642,4.9,34.730000000000004,34.703394096705445,34.83509114505816,34.633558407848845
-110.93356323242188,32.285438537597656,34.06,-501.76,-1.1858493890389197,0.0,4.0,4.672206844180976,34.12167256956993,34.16703180339718,34.14,34.10380448138779
-110.93355560302734,32.28543472290039,33.67999999999999,-501.76,-1.1765422488188977,0.0,6.000000000000001,4.221882482961872,33.63813130938242,33.7424612777118,33.814329968329375,33.63604376979414
-110.93354034423828,32.28543472290039,33.11081357439241,-501.76,-1.2358279930280611,0.0,4.374433738818498,3.8000000000000003,33.09894356626851,33.128943566268504,33.171179457835635,33.161117945783566
-110.93352508544922,32.28542709350586,32.327704941411355,-501.74,-1.1414928,0.0,-0.593955777361891,3.2000000000000006,32.402236748139785,32.31548572876593,32.34873470939206,32.256244903130685
-110.93351745605469,32.285423278808594,31.810000000000002,-501.73999999999995,-1.246104,0.0,0.0,3.2000000000000006,31.758668365342253,31.79526760093824,31.817467346136898,31.797134437472465
-110.93350982666016,32.285423278808594,31.262919361793873,-501.74,-1.246104,0.0,0.0,3.2000000000000006,31.279468904268136,31.310000000000002,31.364593735975625,31.28703132012188
-110.9334945678711,32.28541946411133,30.782695248692033,-501.74000000000007,-1.246104,0.0,0.0,3.2,30.802991129993142,30.778271371661717,30.934719758331433,30.72238346832914
-110.93348693847656,32.28541564941406,30.216662438560327,-501.74000000000007,-1.3491768000000004,0.0,0.9118030611544534,3.2,30.185528044216426,30.27833940565594,30.32635834138846,30.29479242570699
